08122+1739	5.3	5.85	0.55	6.171
08133-2418	7.45	8.97	1.52	1.323
08136-4558	8.11	8.59	0.48	8.659
08147-7348	7.32	7.48	0.16	0.816
08153-6255	5.27	7.62	2.35	4.072
08159-3056	6.5	8.21	1.71	1.849
08182-3722	7.18	7.83	0.65	2.03
08183-4708	8.55	8.76	0.21	5.78
08189-4502	8.41	8.53	0.12	5.18
08221-4059	7.58	7.98	0.4	1.451
08225-4829	5.14	6.08	0.94	0.92
08263-3904	6.48	7.05	0.57	8.07
08267+2432	6.92	7.53	0.61	5.734
08268+2656	6.16	6.21	0.05	5.231
08291-4756	5.51	7.17	1.66	3.49
08295-4443	5.16	6.95	1.79	4.26
08303-2602	8.39	8.87	0.48	1.1
08314-3904	6.46	8.17	1.71	4.48
08321-5313	6.13	7.08	0.95	0.81
08345-3737	6.58	8.86	2.28	1.95
08355-2506	8.23	8.52	0.29	1.96
08358+0637	5.98	7.16	1.18	10.053
08367-4730	7.77	8.82	1.05	7.55
08391-4613	8.88	8.95	0.07	10.52
08391-5557	7.75	8.88	1.13	0.912
08392-6019	6.76	7.53	0.77	1.04
08394-3636	6.4	7.9	1.5	0.82
08407-1210	7.86	8.07	0.21	5.21
08407-5733	6.54	8.31	1.77	3.788
08430-0242	8.87	8.83	0.04	0.805
08435+4852	7.72	7.87	0.15	9.998
08451-5843	6.87	6.93	0.06	4.15
08453-0236	6.89	7.54	0.65	4.699
08468+0625	3.49	6.66	3.17	2.93
08472+1110	8.32	8.56	0.24	12.65
08472-6349	8	8.87	0.87	1.297
08473-4236	8.64	8.74	0.1	5.454
08504-3556	7.04	8.97	1.93	2.46
08508+3504	7.59	7.76	0.17	3.468
08514+5732	8.68	8.87	0.19	1.87
08516-0711	5.75	7.41	1.66	1.186
08527-5208	6.63	8.22	1.59	2.936
08540+0825	7.73	8.33	0.6	9.824
08542+3035	6.09	6.37	0.28	1.505
08542-0846	7.99	8.59	0.6	1.179
08548+4335	8.21	8.91	0.7	3.648
08555-0758	6.73	6.93	0.2	4.068
08561+4341	8.4	8.96	0.56	1.393
08563-5243	4.7	7.72	3.02	2.61
08568-1726	7.23	7.4	0.17	4.053
09014+3215	5.95	8.56	2.61	4.42
09020+0240	7.34	8.77	1.43	1.125
09033-3336	7.1	7.93	0.83	13.3
09066+0249	8.48	8.38	0.1	11.686
09074+2259	6.92	7.13	0.21	7.602
09077-4438	7.11	8.27	1.16	2.457
09098-2548	7.29	8.76	1.47	1.752
09103+5223	8.35	8.8	0.45	4.766
09104+6708	4.87	8.85	3.98	4.27
09125-4337	5.96	6.76	0.8	2.897
09127+1632	8.32	8.71	0.39	1.748
09161-0821	7.8	8.34	0.54	1.627
09174+2339	7.87	8.12	0.25	5.927
09179-6948	8.15	8.52	0.37	10.398
09184+3522	6.63	6.69	0.06	1.916
09188+3648	3.92	6.09	2.17	2.51
09207-3146	7.36	7.93	0.57	2.958
09208+6121	8.54	8.74	0.2	0.941
09210+3811	6.72	7.08	0.36	1.08
09225+4933	7.08	8.99	1.91	6.102
09245+0621	7.45	7.57	0.12	1.859
09249+5134	6.53	8.57	2.04	1.222
09256+5401	7.69	8.59	0.9	5.762
09273+0614	7.71	7.76	0.05	1.8
09285+0903	5.69	7.28	1.59	1.01
09296-0307	7.79	8.87	1.08	0.967
09300+4216	8.68	8.72	0.04	1.67
09306+1036	8.95	8.86	0.09	13.8
09307-4028	3.91	5.12	1.21	1.015
09308-3153	6.15	6.83	0.68	8.106
09315+0128	7.38	7.98	0.6	3.456
09322-1051	7.93	8.99	1.06	5.638
09323-4039	5.5	8.37	2.87	1.015
09333-5758	7.5	7.61	0.11	1.862
09337-4900	5.54	6.19	0.65	2
09343+6648	8.26	8.31	0.05	10.231
09361-3114	7.84	8.24	0.4	7.452
09379+7305	7.03	7.2	0.17	4.929
09384-5732	7.74	8.2	0.46	10.844
09414+3857	7.28	8.65	1.37	2.842
09427-5550	7.85	8.15	0.3	3.093
09471-6504	3.02	6	2.98	5.061
09488-3501	8.07	8.09	0.02	4.349
09543-4517	5.79	8.23	2.44	5.51
09551-6911	6.85	8.87	2.02	9.223
10036-6153	6.34	7.93	1.59	1.14
10045-5148	7.28	8.38	1.1	7.795
10056-8405	7.68	8.38	0.7	4.349
10057+4103	7.97	8.83	0.86	1.086
10062-4722	5.32	7.1	1.78	0.974
10066-1919	8.82	8.99	0.17	9.515
10068-2443	7.93	7.95	0.02	2.08
10138-6542	8.37	8.67	0.3	6.836
10145-6852	8.39	8.69	0.3	13.666
10163+1744	7.25	7.46	0.21	1.66
10190-5601	7.5	8.23	0.73	3.163
10191-6441	6.26	6.48	0.22	2.59
10200+1950	2.37	3.64	1.27	4.78
10201-6710	7.45	8.33	0.88	1.87
10205+0626	7.99	8.3	0.31	0.903
10209-5603	4.49	7.19	2.7	7.191
10216-2232	6.7	8.52	1.82	1.773
10217-0946	8.41	8.96	0.55	1.542
10220+4354	8.18	8.54	0.36	9.33
10244-3835	8.43	8.55	0.12	1.355
10260+5237	8.02	8.44	0.42	2.757
10269+1713	7.85	8.58	0.73	0.832
10283-5234	8.44	8.67	0.23	6.023
10301+2048	8.32	8.87	0.55	1.345
10310-0738	6.51	8.81	2.3	2.791
10319-7207	8.52	8.83	0.31	9.963
10320+2202	8.18	8.54	0.36	13.3
10320-4504	5.64	5.97	0.33	13.15
10333-5523	7.76	8.14	0.38	1.415
10338+2321	7.52	8.88	1.36	4.463
10350+0839	5.8	7.9	2.1	2.16
10360-5815	8.27	8.45	0.18	11.753
10361-2641	6.68	7.77	1.09	1.33
10374-5837	8.23	8.9	0.67	5.347
10387+0544	7.69	8.16	0.47	1.847
10387-5911	4.89	7.48	2.59	14.554
10389-6430	7.17	8.86	1.69	2
10402+3824	8.34	8.85	0.51	5.423
10406+4209	8.72	8.9	0.18	3.802
10417+1044	8.27	8.77	0.5	0.903
10421-5954	8.76	8.92	0.16	3.218
10432-6110	6.59	7.88	1.29	12.405
10433+0445	6.23	7.13	0.9	6.737
10441-5935	8.59	7.89	0.7	13.67
10453-8028	6.15	6.49	0.34	0.805
10462-5919	8.55	8.77	0.22	1.795
10468-4925	2.82	5.65	2.83	2.28
10473+2235	8.17	8.93	0.76	1.65
10476-1516	7	7.59	0.59	6.748
10493-0401	7.08	7.82	0.74	2.408
10493-2649	7.8	8.82	1.02	1.24
10494-5919	6.12	7.42	1.3	1.11
10530-6305	8.04	8.2	0.16	2.091
10537-7043	6.38	7.09	0.71	1.534
10556+2445	4.48	6.3	1.82	6.44
10573-6902	6.6	8.67	2.07	8.69
11000-0328	7.91	8.27	0.36	1.345
11002-4323	8.43	8.65	0.22	0.832
11004-4015	8.77	8.71	0.06	0.968
11021-1542	8.57	8.9	0.33	2.963
11037+6145	2.02	4.95	2.93	0.806
11040+0338	7.92	8.05	0.13	1.19
11073-4238	5.24	7.73	2.49	1.308
11100-2936	8.23	8.97	0.74	12.578
11131-4703	7.47	7.51	0.04	3.681
11137+4105	6.47	8.36	1.89	3.005
11154+2734	7.66	8.06	0.4	3.705
11161+5246	6.54	7.81	1.27	12.387
11165-4553	6.96	7.27	0.31	2.624
11175-5906	7.24	7.6	0.36	1.63
11182+3132	4.33	4.8	0.47	1.95
11189-1146	8.76	8.88	0.12	1.007
11194-0139	7.1	7.91	0.81	9.307
11197-0654	8.56	8.91	0.35	7.6
11234-6457	5.37	6.56	1.19	2.504
11239+1032	4.06	6.71	2.65	2.19
11247-6139	7.68	8.76	1.08	7.586
11249-1741	4.09	7.9	3.81	4.934
11286-4240	5.13	7.38	2.25	13.9
11296-2428	5.82	8.6	2.78	8.166
11313+5942	7.33	8.02	0.69	12.229
11323+6105	5.69	7.55	1.86	0.93
11323-2916	5.64	5.73	0.09	9.582
